Name,Description,Image,Origine,Collection
VASE À KOHOL,"Un des plus anciens objets de la collection, ce vase à kohol mésopotamien est en forme de bovidé. Objet exceptionnel, il atteste d’une période où le parfum n’était pas uniquement utilisé pour des raisons religieuses, mais également comme attribut de beauté.",flacon-incontournable-1-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/xB2EQvmOcHIl_iq1m4zKiA/EZu8u_z-HF3tmhbJ2CsHnEFmgnWUvLxQQ_yBJcjX0JWOQ31vYZMzvXTSJmtY-ucpl669VEQrgGpCRa0nya-vX9kPDB6Wg5UZ1ftHSfhv83w3wwy7cr--JgDO1osApx3ECyXi7Bvi8LH4u3ND1z1JOIWYtCiHO0zruGGVJryCUJQ/OaXQ7MErXIHeW8YcNyXK4pN6IDUj77FHIugnAOwAxSE),"Mésopotamie, dynastie archaïque de Sumer, vers 3000 av. J.-C., calcaire",Incontournables
VASE EN CÉRAMIQUE GREC,Lécythe à figure rouge présentant une femme drapée dans un chiton talaire. Elle est encadrée par une bande de méandres. La base du col est décorée de palmettes.,flacon-incontournable-2-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/gl2RCxrAf4B6wesIvj8EGA/t6pqD0Li4gik8dpIHs1prW8LBUJSl6sgbrKd8sXZH-BbBOja_uXo0nBLvbgKIJE-BE43Jykn4X8QBqDWdHJLtwGWx30MWLrBPJBiJlNBy5mQipVraYdDBmbw6RE9LLsEhyj3uKh6o7P5-1nPyccyivzrLL3kOQr8Z3Cgx6c9Ejk/s2gqR0mY49NXrPSF9dGAY5FIXNVQIrptCC8nxVKt_oY),"Grèce, vers 470 avant J.C., terre cuite orange à engobe noir",Incontournables
POMANDER À SIX QUARTIERS,"Porté à la ceinture, au cou ou à la main, le pomander, dit aussi pomme d’ambre ou boîte à senteur, avait le pouvoir de repousser les maladies et grandes épidémies, fléau du Moyen Âge. Utilisé à l’état solide, le parfum se trouvait dans les différents compartiments de ce pomander en vermeil, datant de la fin du XVIe siècle.",flacon-incontournable-3-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/53LZLQk_1S1OZE7FQWGcRg/Qc2ao8N4mWf7UQ1T3cvicPAvpRyROyR3WiuZPjS1yTvNUl5iRAu6n_yREjv1wKSFsg7A05NBG9qpKG6mARqapym88jeIDuX9mdW2nATeGgdl2vEsclh0jUNH-K8cIWqLukx4NkzW5PGHYPk4iqX4mht-d8bdPizJIe6AQSh9lyM/Fup6P0ugASNvgsI09XYgCKLgtSP-dXBD9ZksAVgjKQI),"Fin du XVIe siècle, vermeil",Incontournables
FLACON-BIJOU,"A la Renaissance, les manufactures se développent et le flacon devient un objet d’orfèvrerie, réalisé dans divers matériaux et pierres rares. Réalisé en lapis-lazuli, le flacon est décoré d’entrelacs en or et orné de diamants.",flacon-incontournable-4-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/eA3ZbOCzKENezMfjIILA-Q/7TLBkuFUyjGTQcQsUpaC7LJYYgCaX7HRkVQYUKsoPSuTfnFlnja44PxF0gNN0z7QDu272mxfQb1pm50xhIbSCF9CMnfpRe1Qhf4A7ihWgf2vlaQUq93jZZ_z70FjgQzfothIeZ_LW3Ld2_9CnlcOGsShV9FbrLYz-GNNAffBQfs/AQo96OOKqKUrpkeeruU957SKntL9og-NrPjPkbJkACY),"Allemagne, vers 1700, lapis-lazuli, or et diamants",Incontournables
BRÛLE-PARFUM LOUIS XIV,"Sous le règne de Louis XIV, la noblesse et la bourgeoisie se passionnent pour les produits parfumés sous toutes leurs formes. Les artistes mettent leur talent à profit pour concevoir des objets hors du commun, tel cet étonnant brûle-parfum réalisé en bronze doré et ébène, dont la cassolette ajourée de rinceaux est traversée par le corps emmêlé d’un serpent.",flacon-incontournable-5-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/GpT_cIVKlGW9HwS_auHSWw/HIieN4xNDNZmGSsOEyunggVOl76N7UCmjJmE4kz7c2Y6vvw2qvaCp0MYgJSR5BhvWH7C_eXqf63qPDI8lfRMznLc39jepSilutxiklUk9mQcVFcwlrwftkUvDdvJpTYOsr9qug6wkLMNfDV2CpBgD6ipUFTbjWRZ4N8CaoARWZs/Fak00WPoRW5wUXy4E82qw_H9gJXyL_qVhSsO0PK9x2Q),"France, seconde moitié du XVIIe siècle, bronze doré et ébène",Incontournables
FLACON FABERGÉ,"Flacon à parfum réalisé par Karl Fabergé, joailler russe connu pour ses œufs de Pâques en pierres précieuses, commandés par le tsar pour son épouse. Ce flacon est en quartz fumé monté or jaune, orné de diamants et de saphirs.",flacon-incontournable-6-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/UiqazXACGASzjwAzETAPSA/_9sZoJf0Xcun5SuXmZtwBJWeNpb3kLVgsqECA0Z4ZQ3vAKKQWCM_N9-hAFECcMaKM7ysStpq3BYXMVo42FQ05MqHt9KvHaUDAPgmzDni07-olOHZK9ZUkIhtM7K0omjKPRC18d_PTh6MDh8DJ9PTsDEMXWT7C6Gzksxqj4OFOzw/-cLILJ1XASeAF85M1iAUxfcj3Wvx_iUEe_luP1OLwqI),"Saint-Pétersbourg, 1899-1901, quartz fumé, or, diamants et saphirs",Incontournables
ASKOS-GUTTUS,"Guttus d’importation alexandrine en forme de pied chaussé de spartiate, avec passoire filtrante. Il est doté d’un orifice à motif léontocéphale au-dessus du talon, percé de cinq trous de remplissage à l’emplacement de la cheville organisés autour d’un décor moulé de tête masculine.",flacon-insolite-1-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/Q5sDt6d4Da-rg-iRDdWVxA/CmXA6rGbUWvk3We9Zk6eGm5WgIrpBmCgOsiBfh_--7yjI0GxrsnFGnEq996R_Tn6RsntLU7ysA6erevV2_fbGkNQg-Py1k34Sngh64-JtkkBlHP0N627wWzLlZqJX5wSwJre1pZELyeybyzXQZP49UiIHsRQWe8SK-zsEVNWyA0/IgMNIg6VAc7i-HRY4VOUxP0rctIT76ucGCK9sLLPSIE),"Nécropole d’Arg el Ghazouani (Kerkouane), fin du IVe siècle –début du IIIe siècle av. J.-C., terre cuite vernissée noire",Insolites
VASE À PARFUM EN BRONZE,"Ce vase servait sans doute de réceptacle pour un récipient à onguent qui était destiné à un usage funéraire, ce qu’indiquerait l’inscription gravée sur le front. Sa forme est vraisemblablement inspirée de prototypes grecs hellénistiques, mais sa facture est typiquement étrusque. Il a été fabriqué au IIIe siècle av. J.-C., probablement dans un atelier d’Orvieto ou de Vulci, alors célèbres pour leur production de bronzes. Il est lui-même en bronze à patine vert sombre.",flacon-insolite-2-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/5Rli1ROLp-d9jL1X6wrTEw/Loy0to37PPdjCvSUEu7GuAXv2wlyfz7ca5Uz3Eow6XGJRfV05_5RI-TC-Teb3A5RFULdfNNGrV9O7TeFacOuAZSAee_C9GfuI0Ie5DA7-lIUw5ffmvzEK2TbuwoKgk-jhz1Xc7b6rA3sslc7tohjfYXoP6NPJ1nxEhEs9lH_e90/jGPf6p_bCWSHgKIg_hxR7KVQQkLqbA0noNAxqg46ul8),"Italie centrale, ateliers étrusques, période hellénistique, IIIe-IIe siècles avant J.-C., bronze",Insolites
POMANDER SIFFLET,Pomander formant un sifflet de forme balustre en argent guilloché.,flacon-insolite-3-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/DdM4YdJLzsgzT1LXqj2TCg/zdY8pwvNVePtMAwa994O7c3ixx7Fa9CUAh1ywJ9ztTiG2BvYeWhxwP_EHc4oLu6uB4BKYfYvDsa6H1kWLVpsKGpaGgi_9Wq2lmuZJh-PME8OPPeMgZ7MfY5txyu-Ihdm_Bw-CB5JXr9e7d__-9Z8PbwTQUUtWXCB51G3S2-_qCg/utWk02aPOW4z8lVODjj9cCX1OJpRm5yPRHs1YJbxRHI),"Allemagne, XVIIIe siècle, argent",Insolites
FLACON TÊTE,"Flacon en forme de tête d’homme d’influence romaine, en verre opalin « blanc de lait » avec rehauts rouges pour les yeux, les oreilles et les dents. Attribué à la manufacture Bernard Perrot (Orléans), il pourrait également être une œuvre de celle de Nevers ou encore de la verrerie de Saint-Quirin.",flacon-insolite-4-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/BMC13FyvO3H70pPy9_4EDg/04VoVXRsQV0Zd42lzjs_nkZkldmYrmCLHNLyY5A58XP65k83_NloNvfEWR51nTHu2EkrYM3Jp4Q2dScsQuePIuVFKaVZxjJ-vDySE0q-bmjoXm_QV_thgSLcm_2NZ3UjOsf7FHuLlkX9mFbWDsQm1amKZWCc79qtnhuaILJBIM8/WZBYWmTMdxplucZCCqfVaxhgTT9Nq3anicxSQ72CYuk),"France, fin XVIIe/début XVIIIe siècle.",Insolites
FLACON BAGUE,"Flacon bague en verre opaque blanc (opaline) doté d’une monture formant un cabochon en or repoussé et ciselé sur fond guilloché agrémenté de turquoises et d’un diamant taillé en rose au centre. La partie supérieure du cabochon constitue un couvercle à charnière, par lequel était versé le parfum. Il serait attribué à l’atelier de F. Egermann.",flacon-insolite-5-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/JSemvcZI7K0M7ocJGsj6Uw/8Qv7wQ2JG6T_afhum7h4W_4A3EHYH-e36ahm1QrXUDXMeE6Sfsvgl6euRt3VG55kLpYRN-Oq113dOjnf9Pq1dnwo34gZlmlgH6GKqVtuXgOPkPI_l2qYqIpxKD6ccT082rYXb67ezokbFI0w4TF0USb2aWDPj_mx1Rd7HBX5eyU/BETbp5b5o1NNAG4vgD_1b-C7aMe92Yqb1ZnQFdlpULo),"République Tchèque, XIXe siècle",Insolites
GOLLI WOGG,"Présenté dans son coffret cubique en carton gainé de papier noir à motifs dorés dont l’intérieur est en satin fuchsia, il s’agit d’un flacon africaniste en verre incolore rehaussé d’émail blanc et noir. Il révèle le premier personnage noir de la bande dessinée américaine écrite par les sœurs Upton. Sa tête gainée de fourrure fait office de bouchon. Modèle dessiné par Michel de Brunhoff.",flacon-insolite-6-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/WxJ1IyJ3g4tCLoPO8tTaVQ/5zMPctr3i-kX-nDOcfRY9jJt2AF8SdT_IoSbLnM0i0_LXsZT_Dg9pGxokRYUWHJMIlO2nMwJDIqVdZNDz8mAMhUVXmMsXIbYXpw3jZkd6KuqFHixwIZLajdHnyCMiFttv0T9uHhlFeagSADJ4Y0IqWfPMCgZ_vX3Zgfs5C6lucw/QMFSCeybAcUJo7iy_WqCezkhKERcC8-2ebsS37HwTvw),"France, 1918",Insolites
FLACON VIOLET,"Flacon du parfum «Pourpre d’Automne» de Violet, datant de 1923. Il est présenté dans son rare coffret rectangulaire cubique en carton gainé de papier et titré noir et rouge. Le flacon est en verre incolore, sa panse est en forme d’inrô, chaque face à décor est moulée et laquée rouge et noir de fruits et feuilles de marronniers. Le col est à carnette et son bouchon cabochon reprend le même décor laqué. Le coffret et le flacon sont dessinés par Lucien Gaillard.",flacon-couture-1-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/rX96pBDYjpVkfWK0JqoHkA/PNUCYQfa9covOq0tUICc5ySYeNbCDYe24O88IvYk1urKTagSpNoslJYU39x3LFqkple-PdLEjP_RHcmUlXsepe_NBGZtorIWTqN1hHx_oBwwvUkBoFxHojY25_4hdm13vJJzDGNA-F8gQc0QjiAobcWyp0_5di-aLJyPwM22iDQ/BAcXq_LJ4eN_SCjkB7sWiFyQ9PzBb61BrhfvG1Pb8Ys),"France, 1923",Coutures
FLACON ROSINE DE PAUL POIRET,"Rare flacon en verre incolore pressé moulé de section cylindrique, forme rouleau, à décor moulé de motifs chinois patinés bistre, col à carnette, avec son bouchon disque bombé en verre teinté rouge rubis doté de sa passementerie. Modèle réalisé pour l’Exposition Internationale des Arts Décoratifs de Paris.",flacon-couture-2-v2.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1711720800000/xxVz9lP6dvw4o-gDfj6LBg/eyhdGESXJc6oHuoU-5uIxGNT8R3ecs7443gpMMgkjahP8vpdlmjkNBNPd56ESlGlR6Bn9ZjIuc-TDf18yxiIp6Z5o1uaoDRaXRpPrCf-rZU7u1sCZ-nBDtYmVLwODRXHntdV9zgbgaelOE1nH53I0isIfvQXgFgT0aUBD3--854/wIop_wD3Pz77FexBHM7C_uJ4sYthKz8Tqln6pCse4yk),"France, 1925",Coutures
